drugid,state,year,datavalue,crimedata
1,AK,2015,1472,26198
2,AK,2016,1594,30842
3,AK,2017,1571,32337
4,AK,2018,1442,30865
5,AK,2019,1544,27637
6,AL,2015,8818,167698
7,AL,2016,8324,169248
8,AL,2017,9551,169711
9,AL,2018,9198,163099
10,AL,2019,8643,156179
11,AR,2015,4616,112362
12,AR,2016,4513,114134
13,AR,2017,4775,109160
14,AR,2018,5286,104177
15,AR,2019,4739,103893
16,AZ,2015,14590,235119
17,AZ,2016,16403,239015
18,AZ,2017,17552,240159
19,AZ,2018,19683,226032
20,AZ,2019,21988,210779
21,CA,2015,56001,1191797
22,CA,2016,57154,1176866
23,CA,2017,58406,1164741
24,CA,2018,63121,1118600
25,CA,2019,70935,1095445
26,CO,2015,11091,161651
27,CO,2016,11137,170833
28,CO,2017,12046,172121
29,CO,2018,12402,174787
30,CO,2019,12262,171127
31,CT,2015,8451,72911
32,CT,2016,10776,72787
33,CT,2017,12594,71689
34,CT,2018,12822,67466
35,CT,2019,13631,57408
36,DC,2015,1447,39966
37,DC,2016,2586,40930
38,DC,2017,4369,36703
39,DC,2018,3610,37720
40,DC,2019,3800,38224
41,DE,2015,2391,30175
42,DE,2016,2724,31178
43,DE,2017,3866,27838
44,DE,2018,4462,26578
45,DE,2019,4905,26046
46,FL,2015,36892,663896
47,FL,2016,48380,642512
48,FL,2017,65444,612845
49,FL,2018,61872,567997
50,FL,2019,61701,542116
51,GA,2015,15499,347366
52,GA,2016,15538,350760
53,GA,2017,17723,335556
54,GA,2018,17255,305093
55,GA,2019,16503,288419
56,HI,2015,1884,58547
57,HI,2016,2294,47170
58,HI,2017,2312,43969
59,HI,2018,2604,44304
60,HI,2019,2750,44270
61,IA,2015,3471,72893
62,IA,2016,3725,74501
63,IA,2017,3983,76085
64,IA,2018,3681,61278
65,IA,2019,3615,63109
66,ID,2015,2570,32426
67,ID,2016,2623,33233
68,ID,2017,2807,31967
69,ID,2018,2798,29619
70,ID,2019,3060,25793
71,IL,2015,21218,305083
72,IL,2016,26227,318160
73,IL,2017,31024,313677
74,IL,2018,33526,297754
75,IL,2019,31908,285545
76,IN,2015,14427,197500
77,IN,2016,16365,198604
78,IN,2017,20889,187730
79,IN,2018,20276,171419
80,IN,2019,19546,157660
81,KS,2015,3926,90552
82,KS,2016,3774,89427
83,KS,2017,3771,93623
84,KS,2018,4045,89468
85,KS,2019,4433,79396
86,KY,2015,14286,106038
87,KY,2016,16155,107466
88,KY,2017,18737,104889
89,KY,2018,16868,97162
90,KY,2019,15953,94470
91,LA,2015,9800,181837
92,LA,2016,11393,180888
93,LA,2017,12344,183804
94,LA,2018,14199,177710
95,LA,2019,14106,172530
96,MA,2015,17638,141433
97,MA,2016,23951,132016
98,MA,2017,25670,123135
99,MA,2018,26808,110533
100,MA,2019,26280,103895
101,MD,2015,14101,166510
102,MD,2016,20291,165845
103,MD,2017,27014,164769
104,MD,2018,28816,151184
105,MD,2019,28002,145357
106,ME,2015,2940,26056
107,ME,2016,3796,23560
108,ME,2017,4494,21750
109,ME,2018,4705,19674
110,ME,2019,3991,18291
111,MI,2015,23417,228332
112,MI,2016,24245,235192
113,MI,2017,31175,224144
114,MI,2018,31993,210198
115,MI,2019,28803,201982
116,MN,2015,6669,135303
117,MN,2016,7668,131150
118,MN,2017,8288,135503
119,MN,2018,8140,124243
120,MN,2019,8585,130568
121,MO,2015,13090,203903
122,MO,2016,14478,202193
123,MO,2017,16847,205673
124,MO,2018,18111,192931
125,MO,2019,19399,192326
126,MS,2015,3907,93044
127,MS,2016,3933,91115
128,MS,2017,3911,90107
129,MS,2018,3767,78765
130,MS,2019,3816,78979
131,MT,2015,1527,30711
132,MT,2016,1477,31816
133,MT,2017,1465,31186
134,MT,2018,1290,30492
135,MT,2019,1566,27768
136,NC,2015,17006,311035
137,NC,2016,21361,315534
138,NC,2017,26214,298850
139,NC,2018,27332,298189
140,NC,2019,27258,286231
141,ND,2015,799,17832
142,ND,2016,828,19305
143,ND,2017,950,18727
144,ND,2018,879,17640
145,ND,2019,951,17235
146,NE,2015,1547,47707
147,NE,2016,1425,48713
148,NE,2017,1512,49536
149,NE,2018,1861,45620
150,NE,2019,1747,45270
151,NH,2015,4896,25881
152,NH,2016,5256,22831
153,NH,2017,5524,21223
154,NH,2018,5514,19284
155,NH,2019,5015,18516
156,NJ,2015,15849,168580
157,NJ,2016,20055,160066
158,NJ,2017,28586,160690
159,NJ,2018,32488,143693
160,NJ,2019,33118,137012
161,NM,2015,6291,90775
162,NM,2016,5881,96550
163,NM,2017,6036,98665
164,NM,2018,5995,89606
165,NM,2019,6716,82719
166,NV,2015,7342,97255
167,NV,2016,8457,95983
168,NV,2017,8748,94989
169,NV,2018,8849,90405
170,NV,2019,8917,86735
171,NY,2015,19990,392694
172,NY,2016,24820,379466
173,NY,2017,28892,371354
174,NY,2018,27236,350002
175,NY,2019,25479,336919
176,OH,2015,36893,334423
177,OH,2016,45503,334234
178,OH,2017,60794,316717
179,OH,2018,51571,287219
180,OH,2019,49592,274560
181,OK,2015,8944,129384
182,OK,2016,8913,134685
183,OK,2017,9867,131000
184,OK,2018,8624,131744
185,OK,2019,7467,129673
186,OR,2015,6129,129187
187,OR,2016,6002,132175
188,OR,2017,6199,135396
189,OR,2018,6643,133244
190,OR,2019,6926,127165
191,PA,2015,36077,272424
192,PA,2016,45980,263242
193,PA,2017,64683,251340
194,PA,2018,57391,230008
195,PA,2019,52089,218893
196,RI,2015,3517,22605
197,RI,2016,3978,22582
198,RI,2017,3986,21021
199,RI,2018,3906,19878
200,RI,2019,4052,18601
201,SC,2015,8692,185945
202,SC,2016,9569,185824
203,SC,2017,11678,186007
204,SC,2018,12542,178246
205,SC,2019,13150,177712
206,SD,2015,727,19969
207,SD,2016,809,20762
208,SD,2017,891,20088
209,SD,2018,732,18821
210,SD,2019,882,19197
211,TN,2015,16367,234196
212,TN,2016,18632,231932
213,TN,2017,20761,241243
214,TN,2018,21758,233505
215,TN,2019,23764,221800
216,TX,2015,30794,890966
217,TX,2016,32557,889989
218,TX,2017,34262,849566
219,TX,2018,35934,797357
220,TX,2019,35795,814678
221,UT,2015,7433,96349
222,UT,2016,8333,97465
223,UT,2017,7485,93648
224,UT,2018,7836,82524
225,UT,2019,6984,77099
226,VA,2015,11819,172869
227,VA,2016,14327,174714
228,VA,2017,17070,169487
229,VA,2018,17155,158917
230,VA,2019,17822,157966
231,VT,2015,1094,9545
232,VT,2016,1363,11591
233,VT,2017,1633,9994
234,VT,2018,1614,9113
235,VT,2019,1615,10150
236,WA,2015,12643,268763
237,WA,2016,13830,276676
238,WA,2017,13223,257575
239,WA,2018,14024,245483
240,WA,2019,14446,226601
241,WI,2015,10378,131571
242,WI,2016,11926,129399
243,WI,2017,13577,123341
244,WI,2018,13474,107862
245,WI,2019,13617,102742
246,WV,2015,8230,43482
247,WV,2016,9617,44044
248,WV,2017,11836,39998
249,WV,2018,10965,32063
250,WV,2019,10079,34050
251,WY,2015,1229,12453
252,WY,2016,1138,12890
253,WY,2017,871,11980
254,WY,2018,763,11539
255,WY,2019,797,10351
